CAMERA,POLICE,VISIBILTY,POPULATION,SAFETY
NO,NO,VL,0,0
NO,NO,VL,1,0
NO,NO,VL,2,1
NO,NO,L,0,0
NO,NO,L,1,1
NO,NO,L,2,1
NO,NO,M,0,0
NO,NO,M,1,1
NO,NO,M,2,2
NO,NO,H,0,0
NO,NO,H,1,2
NO,NO,H,2,3
NO,NO,VH,0,1
NO,NO,VH,1,3
NO,NO,VH,2,4
NO,MAYBE,VL,0,0
NO,MAYBE,VL,1,0
NO,MAYBE,VL,2,1
NO,MAYBE,L,0,0
NO,MAYBE,L,1,1
NO,MAYBE,L,2,2
NO,MAYBE,M,0,1
NO,MAYBE,M,1,1
NO,MAYBE,M,2,2
NO,MAYBE,H,0,1
NO,MAYBE,H,1,2
NO,MAYBE,H,2,3
NO,MAYBE,VH,0,2
NO,MAYBE,VH,1,3
NO,MAYBE,VH,2,4
NO,YES,VL,0,0
NO,YES,VL,1,1
NO,YES,VL,2,1
NO,YES,L,0,0
NO,YES,L,1,1
NO,YES,L,2,2
NO,YES,M,0,1
NO,YES,M,1,2
NO,YES,M,2,2
NO,YES,H,0,1
NO,YES,H,1,2
NO,YES,H,2,3
NO,YES,VH,0,2
NO,YES,VH,1,3
NO,YES,VH,2,4
MAYBE,NO,VL,0,0
MAYBE,NO,VL,1,0
MAYBE,NO,VL,2,1
MAYBE,NO,L,0,0
MAYBE,NO,L,1,1
MAYBE,NO,L,2,2
MAYBE,NO,M,0,0
MAYBE,NO,M,1,1
MAYBE,NO,M,2,2
MAYBE,NO,H,0,1
MAYBE,NO,H,1,2
MAYBE,NO,H,2,3
MAYBE,NO,VH,0,1
MAYBE,NO,VH,1,3
MAYBE,NO,VH,2,4
MAYBE,MAYBE,VL,0,0
MAYBE,MAYBE,VL,1,1
MAYBE,MAYBE,VL,2,1
MAYBE,MAYBE,L,0,1
MAYBE,MAYBE,L,1,1
MAYBE,MAYBE,L,2,2
MAYBE,MAYBE,M,0,1
MAYBE,MAYBE,M,1,2
MAYBE,MAYBE,M,2,2
MAYBE,MAYBE,H,0,1
MAYBE,MAYBE,H,1,2
MAYBE,MAYBE,H,2,3
MAYBE,MAYBE,VH,0,2
MAYBE,MAYBE,VH,1,3
MAYBE,MAYBE,VH,2,4
MAYBE,YES,VL,0,0
MAYBE,YES,VL,1,1
MAYBE,YES,VL,2,1
MAYBE,YES,L,0,1
MAYBE,YES,L,1,2
MAYBE,YES,L,2,2
MAYBE,YES,M,0,1
MAYBE,YES,M,1,2
MAYBE,YES,M,2,3
MAYBE,YES,H,0,2
MAYBE,YES,H,1,2
MAYBE,YES,H,2,3
MAYBE,YES,VH,0,2
MAYBE,YES,VH,1,4
MAYBE,YES,VH,2,4
YES,NO,VL,0,0
YES,NO,VL,1,1
YES,NO,VL,2,1
YES,NO,L,0,1
YES,NO,L,1,1
YES,NO,L,2,2
YES,NO,M,0,1
YES,NO,M,1,2
YES,NO,M,2,3
YES,NO,H,0,2
YES,NO,H,1,3
YES,NO,H,2,4
YES,NO,VH,0,2
YES,NO,VH,1,4
YES,NO,VH,2,4
YES,MAYBE,VL,0,1
YES,MAYBE,VL,1,1
YES,MAYBE,VL,2,2
YES,MAYBE,L,0,1
YES,MAYBE,L,1,2
YES,MAYBE,L,2,2
YES,MAYBE,M,0,1
YES,MAYBE,M,1,2
YES,MAYBE,M,2,3
YES,MAYBE,H,0,2
YES,MAYBE,H,1,3
YES,MAYBE,H,2,4
YES,MAYBE,VH,0,3
YES,MAYBE,VH,1,4
YES,MAYBE,VH,2,4
YES,YES,VL,0,1
YES,YES,VL,1,2
YES,YES,VL,2,2
YES,YES,L,0,1
YES,YES,L,1,2
YES,YES,L,2,3
YES,YES,M,0,2
YES,YES,M,1,2
YES,YES,M,2,3
YES,YES,H,0,3
YES,YES,H,1,4
YES,YES,H,2,4
YES,YES,VH,0,4
YES,YES,VH,1,4
YES,YES,VH,2,4
