LOCATION,CAMERA,POLICE,VISIBILTY,POPULATION,SAFETY,,POP,SAFETY
Bus Stand,YES,YES,VL,1,2,,,
Bus Stand,YES,YES,VL,2,3,,0-L (<41),0-VL
Bus Stand,YES,YES,L,1,3,,1-M (41-80),1-L
Bus Stand,YES,YES,L,2,3,,2-H (>80),2-M
Bus Stand,YES,YES,M,1,3,,,3-H
Bus Stand,YES,YES,M,2,4,,,4-VH
Bus Stand,YES,YES,H,1,4,,,
Bus Stand,YES,YES,H,2,4,,,
Bus Stand,YES,YES,VH,1,4,,,
Bus Stand,YES,YES,VH,2,4,,,
Patiala Guru Jindabad,YES,YES,VL,0,1,,,
Patiala Guru Jindabad,YES,YES,VL,1,2,,,
Patiala Guru Jindabad,YES,YES,VL,2,2,,,
Patiala Guru Jindabad,YES,YES,L,0,1,,,
Patiala Guru Jindabad,YES,YES,L,1,2,,,
Patiala Guru Jindabad,YES,YES,L,2,3,,,
Patiala Guru Jindabad,YES,YES,M,0,2,,,
Patiala Guru Jindabad,YES,YES,M,1,2,,,
Patiala Guru Jindabad,YES,YES,M,2,3,,,
Patiala Guru Jindabad,YES,YES,H,0,3,,,
Patiala Guru Jindabad,YES,YES,H,1,4,,,
Patiala Guru Jindabad,YES,YES,H,2,4,,,
Patiala Guru Jindabad,YES,YES,VH,0,4,,,
Patiala Guru Jindabad,YES,YES,VH,1,4,,,
Patiala Guru Jindabad,YES,YES,VH,2,4,,,
Prontha Market,NO,MAYBE,VL,0,0,,,
Prontha Market,NO,MAYBE,VL,1,0,,,
Prontha Market,NO,MAYBE,VL,2,1,,,
Prontha Market,NO,MAYBE,L,0,0,,,
Prontha Market,NO,MAYBE,L,1,1,,,
Prontha Market,NO,MAYBE,L,2,2,,,
Prontha Market,NO,MAYBE,M,0,1,,,
Prontha Market,NO,MAYBE,M,1,1,,,
Prontha Market,NO,MAYBE,M,2,2,,,
Prontha Market,NO,MAYBE,H,0,1,,,
Prontha Market,NO,MAYBE,H,1,2,,,
Prontha Market,NO,MAYBE,H,2,3,,,
Prontha Market,NO,MAYBE,VH,0,2,,,
Prontha Market,NO,MAYBE,VH,1,3,,,
Prontha Market,NO,MAYBE,VH,2,4,,,
Priti Oils,NO,NO,VL,0,0,,,
Priti Oils,NO,NO,VL,1,0,,,
Priti Oils,NO,NO,VL,2,1,,,
Priti Oils,NO,NO,L,0,0,,,
Priti Oils,NO,NO,L,1,1,,,
Priti Oils,NO,NO,L,2,1,,,
Priti Oils,NO,NO,M,0,0,,,
Priti Oils,NO,NO,M,1,1,,,
Priti Oils,NO,NO,M,2,2,,,
Priti Oils,NO,NO,H,0,0,,,
Priti Oils,NO,NO,H,1,2,,,
Priti Oils,NO,NO,H,2,3,,,
Priti Oils,NO,NO,VH,0,1,,,
Priti Oils,NO,NO,VH,1,3,,,
Priti Oils,NO,NO,VH,2,4,,,
SBI ATM,YES,MAYBE,VL,0,1,,,
SBI ATM,YES,MAYBE,VL,1,1,,,
SBI ATM,YES,MAYBE,VL,2,2,,,
SBI ATM,YES,MAYBE,L,0,1,,,
SBI ATM,YES,MAYBE,L,1,2,,,
SBI ATM,YES,MAYBE,L,2,2,,,
SBI ATM,YES,MAYBE,M,0,1,,,
SBI ATM,YES,MAYBE,M,1,2,,,
SBI ATM,YES,MAYBE,M,2,3,,,
SBI ATM,YES,MAYBE,H,0,2,,,
SBI ATM,YES,MAYBE,H,1,3,,,
