LOCATION,CAMERA,POLICE,MONTH,TIME,VISIBILTY,POPULATION,SAFETY,,POP,SAFETY
Bus Stand,YES,YES,12-2,20-4,L,1,2,,,
Bus Stand,YES,YES,12-2,04-08,M,2,3,,0-L (<41),0-VL
Bus Stand,YES,YES,12-2,08-12,H,2,4,,1-M (41-80),1-L
Bus Stand,YES,YES,12-2,12-16,VH,2,4,,2-H (>80),2-M
Bus Stand,YES,YES,12-2,16-20,M,2,3,,,3-H
Bus Stand,YES,YES,3-4,20-4,L,1,2,,,4-VH
Bus Stand,YES,YES,3-4,04-08,M,2,4,,,
Bus Stand,YES,YES,3-4,08-12,H,2,4,,,
Bus Stand,YES,YES,3-4,12-16,VH,2,4,,,
Bus Stand,YES,YES,3-4,16-20,M,2,4,,,
Bus Stand,YES,YES,5-6,20-4,M,1,3,,,
Bus Stand,YES,YES,5-6,04-08,M,2,4,,,
Bus Stand,YES,YES,5-6,08-12,H,2,4,,,
Bus Stand,YES,YES,5-6,12-16,VH,2,4,,,
Bus Stand,YES,YES,5-6,16-20,H,2,4,,,
Bus Stand,YES,YES,7-8,20-4,M,1,3,,,
Bus Stand,YES,YES,7-8,04-08,M,2,4,,,
Bus Stand,YES,YES,7-8,08-12,M,2,4,,,
Bus Stand,YES,YES,7-8,12-16,H,2,4,,,
Bus Stand,YES,YES,7-8,16-20,M,2,4,,,
Bus Stand,YES,YES,9-11,20-4,L,1,2,,,
Bus Stand,YES,YES,9-11,04-08,M,2,4,,,
Bus Stand,YES,YES,9-11,08-12,H,2,4,,,
Bus Stand,YES,YES,9-11,12-16,VH,2,4,,,
Bus Stand,YES,YES,9-11,16-20,M,2,4,,,
Shri Aurobindo International School,YES,YES,12-2,20-4,VL,0,0,,,
Shri Aurobindo International School,YES,YES,12-2,04-08,L,1,1,,,
Shri Aurobindo International School,YES,YES,12-2,08-12,M,2,4,,,
Shri Aurobindo International School,YES,YES,12-2,12-16,VH,2,4,,,
Shri Aurobindo International School,YES,YES,12-2,16-20,H,1,3,,,
Shri Aurobindo International School,YES,YES,3-4,20-4,VL,,,,,
Shri Aurobindo International School,YES,YES,3-4,04-08,L,,,,,
Shri Aurobindo International School,YES,YES,3-4,08-12,H,,,,,
Shri Aurobindo International School,YES,YES,3-4,12-16,VH,,,,,
Shri Aurobindo International School,YES,YES,3-4,16-20,M,,,,,
Shri Aurobindo International School,YES,YES,5-6,20-4,VL,,,,,
Shri Aurobindo International School,YES,YES,5-6,04-08,M,,,,,
Shri Aurobindo International School,YES,YES,5-6,08-12,H,,,,,
Shri Aurobindo International School,YES,YES,5-6,12-16,VH,,,,,
Shri Aurobindo International School,YES,YES,5-6,16-20,H,,,,,
Shri Aurobindo International School,YES,YES,7-8,20-4,VL,,,,,
Shri Aurobindo International School,YES,YES,7-8,04-08,L,,,,,
Shri Aurobindo International School,YES,YES,7-8,08-12,M,,,,,
Shri Aurobindo International School,YES,YES,7-8,12-16,H,,,,,
Shri Aurobindo International School,YES,YES,7-8,16-20,M,,,,,
Shri Aurobindo International School,YES,YES,9-11,20-4,VL,,,,,
Shri Aurobindo International School,YES,YES,9-11,04-08,L,,,,,
Shri Aurobindo International School,YES,YES,9-11,08-12,H,,,,,
Shri Aurobindo International School,YES,YES,9-11,12-16,VH,,,,,
Shri Aurobindo International School,YES,YES,9-11,16-20,M,,,,,
