,Cam,Police,Population,Visibility,Safety
0,No,No,Low,Low,0
1,No,No,Low,Moderate,1
2,No,No,Low,High,1
3,No,No,Moderate,Low,1
4,No,No,Moderate,Moderate,1
5,No,No,Moderate,High,2
6,No,No,High,Low,1
7,No,No,High,Moderate,2
8,No,No,High,High,3
9,No,May Be,Low,Low,0
10,No,May Be,Low,Moderate,0
11,No,May Be,Low,High,1
12,No,May Be,Moderate,Low,0
13,No,May Be,Moderate,Moderate,1
14,No,May Be,Moderate,High,2
15,No,May Be,High,Low,1
16,No,May Be,High,Moderate,2
17,No,May Be,High,High,2
18,No,Yes,Low,Low,1
19,No,Yes,Low,Moderate,2
20,No,Yes,Low,High,3
21,No,Yes,Moderate,Low,1
22,No,Yes,Moderate,Moderate,2
23,No,Yes,Moderate,High,3
24,No,Yes,High,Low,2
25,No,Yes,High,Moderate,3
26,No,Yes,High,High,4
27,May Be,No,Low,Low,0
28,May Be,No,Low,Moderate,0
29,May Be,No,Low,High,2
30,May Be,No,Moderate,Low,0
31,May Be,No,Moderate,Moderate,1
32,May Be,No,Moderate,High,3
33,May Be,No,High,Low,1
34,May Be,No,High,Moderate,2
35,May Be,No,High,High,4
36,May Be,May Be,Low,Low,0
37,May Be,May Be,Low,Moderate,1
38,May Be,May Be,Low,High,2
39,May Be,May Be,Moderate,Low,1
40,May Be,May Be,Moderate,Moderate,2
41,May Be,May Be,Moderate,High,3
42,May Be,May Be,High,Low,2
43,May Be,May Be,High,Moderate,3
44,May Be,May Be,High,High,4
45,May Be,Yes,Low,Low,2
46,May Be,Yes,Low,Moderate,3
47,May Be,Yes,Low,High,4
48,May Be,Yes,Moderate,Low,1
49,May Be,Yes,Moderate,Moderate,2
50,May Be,Yes,Moderate,High,3
51,May Be,Yes,High,Low,1
52,May Be,Yes,High,Moderate,2
53,May Be,Yes,High,High,4
54,Yes,No,Low,Low,0
55,Yes,No,Low,Moderate,1
56,Yes,No,Low,High,2
57,Yes,No,Moderate,Low,1
58,Yes,No,Moderate,Moderate,2
59,Yes,No,Moderate,High,3
60,Yes,No,High,Low,2
61,Yes,No,High,Moderate,3
62,Yes,No,High,High,4
63,Yes,May Be,Low,Low,1
64,Yes,May Be,Low,Moderate,2
65,Yes,May Be,Low,High,3
66,Yes,May Be,Moderate,Low,2
67,Yes,May Be,Moderate,Moderate,3
68,Yes,May Be,Moderate,High,4
69,Yes,May Be,High,Low,3
70,Yes,May Be,High,Moderate,4
71,Yes,May Be,High,High,4
72,Yes,Yes,Low,Low,1
73,Yes,Yes,Low,Moderate,2
74,Yes,Yes,Low,High,3
75,Yes,Yes,Moderate,Low,2
76,Yes,Yes,Moderate,Moderate,3
77,Yes,Yes,Moderate,High,4
78,Yes,Yes,High,Low,3
79,Yes,Yes,High,Moderate,4
80,Yes,Yes,High,High,4
