,Cam,Police,Population,Visibility,Safety
0,No,No,Low,Low,0
1,No,No,Low,Low,0
2,No,No,Low,Low,0
3,No,No,Low,Low,0
4,No,No,Low,Low,0
5,No,No,Low,Low,0
6,No,No,Low,Low,0
7,No,No,Low,Low,0
8,No,No,Low,Low,0
9,No,No,Low,Low,0
10,No,No,Low,Low,0
11,No,No,Low,Low,0
12,No,No,Low,Low,0
13,No,No,Low,Low,0
14,No,No,Low,Low,0
15,No,No,Low,Low,0
16,No,No,Low,Low,0
17,No,No,Low,Low,0
18,No,No,Low,Low,0
19,No,No,Low,Low,0
20,No,No,Low,Low,0
21,No,No,Low,Low,0
22,No,No,Low,Low,0
23,No,No,Low,Low,0
24,No,No,Low,Low,0
25,No,No,Low,Low,0
26,No,No,Low,Low,0
27,No,No,Low,Low,0
28,No,No,Low,Low,0
29,No,No,Low,Low,0
30,No,No,Low,Low,0
31,No,No,Low,Low,0
32,No,No,Low,Low,0
33,No,No,Low,Low,0
34,No,No,Low,Low,0
35,No,No,Low,Low,0
36,No,No,Low,Low,0
37,No,No,Low,Low,0
38,No,No,Low,Low,0
39,No,No,Low,Low,0
40,No,No,Low,Low,0
41,No,No,Low,Low,0
42,No,No,Low,Low,0
43,No,No,Low,Low,0
44,No,No,Low,Low,0
45,No,No,Low,Low,0
46,No,No,Low,Low,0
47,No,No,Low,Low,0
48,No,No,Low,Low,0
49,No,No,Low,Low,0
50,No,No,Low,Low,0
51,No,No,Low,Low,0
52,No,No,Low,Low,0
53,No,No,Low,Low,0
54,No,No,Low,Low,0
55,No,No,Low,Low,0
56,No,No,Low,Low,0
57,No,No,Low,Low,0
58,No,No,Low,Low,0
59,No,No,Low,Low,0
60,No,No,Low,Low,0
61,No,No,Low,Low,0
62,No,No,Low,Low,0
63,No,No,Low,Low,0
64,No,No,Low,Low,0
65,No,No,Low,Low,0
66,No,No,Low,Low,0
67,No,No,Low,Low,0
68,No,No,Low,Low,0
69,No,No,Low,Low,0
70,No,No,Low,Low,0
71,No,No,Low,Low,0
72,No,No,Low,Low,0
73,No,No,Low,Low,0
74,No,No,Low,Low,0
75,No,No,Low,Low,0
76,No,No,Low,Low,0
77,No,No,Low,Low,0
78,No,No,Low,Low,0
79,No,No,Low,Low,0
80,No,No,Low,Low,0
81,No,No,Low,Low,0
82,No,No,Low,Low,0
83,No,No,Low,Low,0
84,No,No,Low,Low,0
85,No,No,Low,Low,0
86,No,No,Low,Low,0
87,No,No,Low,Low,0
88,No,No,Low,Low,0
89,No,No,Low,Low,0
90,No,No,Low,Low,0
91,No,No,Low,Low,0
92,No,No,Low,Low,0
93,No,No,Low,Low,0
94,No,No,Low,Low,0
95,No,No,Low,Low,0
96,No,No,Low,Low,0
97,No,No,Low,Low,0
98,No,No,Low,Low,0
99,No,No,Low,Low,0
100,No,No,Low,Low,0
101,No,No,Low,Low,0
102,No,No,Low,Low,0
103,No,No,Low,Low,0
104,No,No,Low,Low,0
105,No,No,Low,Low,0
106,No,No,Low,Low,0
107,No,No,Low,Low,0
108,No,No,Low,Low,0
109,No,No,Low,Low,0
110,No,No,Low,Low,0
111,No,No,Low,Moderate,1
112,No,No,Low,Moderate,1
113,No,No,Low,Moderate,1
114,No,No,Low,Moderate,1
115,No,No,Low,Moderate,1
116,No,No,Low,Moderate,1
117,No,No,Low,Moderate,1
118,No,No,Low,Moderate,1
119,No,No,Low,Moderate,1
120,No,No,Low,Moderate,1
