,LOCATION,CAMERA,POLICE,VISIBILTY,POPULATION,SAFETY
0,Bus Stand,Yes,Yes,Low,Moderate,2
1,Bus Stand,Yes,Yes,Low,High,3
2,Bus Stand,Yes,Yes,Low,Moderate,3
3,Bus Stand,Yes,Yes,Low,High,4
4,Bus Stand,Yes,Yes,Moderate,Moderate,3
5,Bus Stand,Yes,Yes,Moderate,High,4
6,Bus Stand,Yes,Yes,High,Moderate,4
7,Bus Stand,Yes,Yes,High,High,4
8,Bus Stand,Yes,Yes,High,Moderate,4
9,Bus Stand,Yes,Yes,High,High,4
10,Shri Aurobindo International School,Yes,Yes,Low,Low,0
11,Shri Aurobindo International School,Yes,Yes,Low,Moderate,2
12,Shri Aurobindo International School,Yes,Yes,Low,High,4
13,Shri Aurobindo International School,Yes,Yes,Low,Low,0
14,Shri Aurobindo International School,Yes,Yes,Low,Moderate,2
15,Shri Aurobindo International School,Yes,Yes,Low,High,4
16,Shri Aurobindo International School,Yes,Yes,Moderate,Low,1
17,Shri Aurobindo International School,Yes,Yes,Moderate,Moderate,3
18,Shri Aurobindo International School,Yes,Yes,Moderate,High,4
19,Shri Aurobindo International School,Yes,Yes,High,Low,2
20,Shri Aurobindo International School,Yes,Yes,High,Moderate,3
21,Shri Aurobindo International School,Yes,Yes,High,High,4
22,Shri Aurobindo International School,Yes,Yes,High,Low,2
23,Shri Aurobindo International School,Yes,Yes,High,Moderate,3
24,Shri Aurobindo International School,Yes,Yes,High,High,4
25,Saanjh Kendra Patiala,May Be,No,Low,Low,0
26,Saanjh Kendra Patiala,May Be,No,Low,Moderate,0
27,Saanjh Kendra Patiala,May Be,No,Low,High,0
28,Saanjh Kendra Patiala,May Be,No,Low,Low,0
29,Saanjh Kendra Patiala,May Be,No,Low,Moderate,1
30,Saanjh Kendra Patiala,May Be,No,Low,High,2
31,Saanjh Kendra Patiala,May Be,No,Moderate,Low,1
32,Saanjh Kendra Patiala,May Be,No,Moderate,Moderate,2
33,Saanjh Kendra Patiala,May Be,No,Moderate,High,3
34,Saanjh Kendra Patiala,May Be,No,High,Low,1
35,Saanjh Kendra Patiala,May Be,No,High,Moderate,3
36,Saanjh Kendra Patiala,May Be,No,High,High,4
37,Saanjh Kendra Patiala,May Be,No,High,Low,3
38,Saanjh Kendra Patiala,May Be,No,High,Moderate,3
39,Saanjh Kendra Patiala,May Be,No,High,High,4
40,Police Station Lahori Gate,Yes,Yes,Low,Low,1
41,Police Station Lahori Gate,Yes,Yes,Low,Moderate,4
42,Police Station Lahori Gate,Yes,Yes,Low,High,4
43,Police Station Lahori Gate,Yes,Yes,Low,Low,2
44,Police Station Lahori Gate,Yes,Yes,Low,Moderate,4
45,Police Station Lahori Gate,Yes,Yes,Low,High,4
46,Police Station Lahori Gate,Yes,Yes,Moderate,Low,3
47,Police Station Lahori Gate,Yes,Yes,Moderate,Moderate,4
48,Police Station Lahori Gate,Yes,Yes,Moderate,High,4
49,Police Station Lahori Gate,Yes,Yes,High,Low,4
50,Police Station Lahori Gate,Yes,Yes,High,Moderate,4
51,Police Station Lahori Gate,Yes,Yes,High,High,4
52,Police Station Lahori Gate,Yes,Yes,High,Low,4
